aaa,13,14,15,16,17,18,19,20
2010,5.3,7.3,6.8,3.4,6.4,7.8,7.7,6.1
2011,6.8,7.4,6.3,4.1,6.5,7.5,7,7.2
2012,8.3,8.3,7.4,6.6,7.6,6.3,6.9,7.6
2013,7.1,5.6,5.1,6.7,5,6.7,7,6.4
2014,7.4,6.8,5.9,7.5,7.7,7.8,6.9,7.4
2015,6.8,6.6,6.6,7.4,6.4,6.8,6.8,7.5
2016,6.5,6.7,7.6,7.3,7.7,7.1,7.1,6.2
2017,6.2,6.5,5.1,6.5,6.5,4.8,6.6,6.6
2018,6.9,7.4,5.8,4.4,6.7,6.4,6.7,6.1
2019,7,7.6,7.6,7.5,7.6,7.6,7.6,7.7
